AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC_SEQ_ID2,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_SEQ_ID,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC_SEQ_ID2,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,UTC_LOCAL_TIME_VARIATION,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1013501,10135,ABE,Lehigh Valley International,"Allentown/Bethlehem/Easton, PA",2301,23,United States,US,Pennsylvania,PA,42.0,3013501,30135,"Allentown/Bethlehem/Easton, PA",2301,23,40.0,N,39.0,17.0,40.65472222,75.0,W,26.0,18.0,-75.43833333,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1013601,10136,ABI,Abilene Regional,"Abilene, TX",7401,74,United States,US,Texas,TX,48.0,3013601,30136,"Abilene, TX",7401,74,32.0,N,24.0,34.0,32.40944444,99.0,W,40.0,47.0,-99.67972222,-600.0,1/1/1950 12:00:00 AM,8/31/1990 12:00:00 AM,0,0
1014001,10140,ABQ,Albuquerque International Sunport,"Albuquerque, NM",8601,86,United States,US,New Mexico,NM,35.0,3014001,30140,"Albuquerque, NM",8601,86,35.0,N,2.0,30.0,35.04166667,106.0,W,36.0,23.0,-106.60638889,-700.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1014101,10141,ABR,Aberdeen Regional,"Aberdeen, SD",6701,67,United States,US,South Dakota,SD,46.0,3014101,30141,"Aberdeen, SD",6701,67,45.0,N,26.0,59.0,45.44972222,98.0,W,25.0,18.0,-98.42166667,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1014601,10146,ABY,Southwest Georgia Regional,"Albany, GA",3401,34,United States,US,Georgia,GA,13.0,3014601,30146,"Albany, GA",3401,34,31.0,N,31.0,56.0,31.53222222,84.0,W,11.0,46.0,-84.19611111,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1015401,10154,ACK,Nantucket Memorial,"Nantucket, MA",1301,13,United States,US,Massachusetts,MA,25.0,3015401,30154,"Nantucket, MA",1301,13,41.0,N,15.0,24.0,41.25666667,70.0,W,3.0,35.0,-70.05972222,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1015501,10155,ACT,Waco Regional,"Waco, TX",7401,74,United States,US,Texas,TX,48.0,3015501,30155,"Waco, TX",7401,74,31.0,N,36.0,41.0,31.61138889,97.0,W,13.0,43.0,-97.22861111,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1015701,10157,ACV,Arcata,"Arcata/Eureka, CA",9101,91,United States,US,California,CA,6.0,3015701,30157,"Eureka/Arcata, CA",9101,91,40.0,N,58.0,45.0,40.97916667,124.0,W,6.0,27.0,-124.1075,-800.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1015801,10158,ACY,Nafec Atlantic City,"Atlantic City, NJ",2101,21,United States,US,New Jersey,NJ,34.0,3015801,30158,"Atlantic City, NJ",2101,21,39.0,N,27.0,22.0,39.45611111,74.0,W,34.0,41.0,-74.57805556,-500.0,1/1/1950 12:00:00 AM,5/31/1976 12:00:00 AM,0,0
1016501,10165,ADK,Adak NS,"Adak Island, AK",101,1,United States,US,Alaska,AK,2.0,3016501,30165,"Adak Island, AK",101,1,51.0,N,52.0,58.0,51.88277778,176.0,W,38.0,41.0,-176.64472222,-1000.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1017001,10170,ADQ,Kodiak Airport,"Kodiak, AK",101,1,United States,US,Alaska,AK,2.0,3007001,30070,"Kodiak, AK",101,1,57.0,N,45.0,0.0,57.75,152.0,W,29.0,38.0,-152.49388889,-900.0,1/1/1950 12:00:00 AM,8/31/2017 12:00:00 AM,0,0
1018501,10185,AEX,England AFB,"Alexandria, LA",7201,72,United States,US,Louisiana,LA,22.0,3018501,30185,"Alexandria, LA",7201,72,31.0,N,19.0,27.0,31.32416667,92.0,W,32.0,49.0,-92.54694444,-600.0,1/1/1950 12:00:00 AM,12/31/2002 12:00:00 AM,0,0
1020801,10208,AGS,Bush Field,"Augusta, GA",3401,34,United States,US,Georgia,GA,13.0,3020801,30208,"Augusta, GA",3401,34,33.0,N,22.0,9.0,33.36916667,81.0,W,57.0,52.0,-81.96444444,-500.0,1/1/1950 12:00:00 AM,6/30/2000 12:00:00 AM,0,0
1024501,10245,AKN,King Salmon Airport,"King Salmon, AK",101,1,United States,US,Alaska,AK,2.0,3024501,30245,"King Salmon, AK",101,1,58.0,N,40.0,40.0,58.67777778,156.0,W,39.0,6.0,-156.65166667,-900.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1025701,10257,ALB,Albany International,"Albany, NY",2201,22,United States,US,New York,NY,36.0,3025701,30257,"Albany, NY",2201,22,42.0,N,44.0,45.0,42.74583333,73.0,W,48.0,19.0,-73.80527778,-500.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1026801,10268,ALO,Waterloo Regional,"Waterloo, IA",6101,61,United States,US,Iowa,IA,19.0,3026801,30268,"Waterloo, IA",6101,61,42.0,N,33.0,22.0,42.55611111,92.0,W,23.0,59.0,-92.39972222,-600.0,1/1/1950 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
